product_name,product_link,manufacturer,is_new,price,shipping_cost,product_description,total_price
BOITE DE 325 CARTOUCHES 22LR FEDERAL GOLD PLATED HOLLOW POINT 36 GRAINS,https://www.naturabuy.fr/BOITE-DE-325-CARTOUCHES-22LR-FEDERAL-GOLD-PLATED-HOLLOW-POINT-36-GRAINS-item-10619103.html,Federal,1,46.9,12.0,Marque : FederalEtat de l'objet : NeufType : Standard Longue - haute vitesseType d'ogive : Creuse boite de 325 cartouches de marque Federal 22lr 36 grains round nose hollow point cuivree excellente cartouche pour le tir dans les armes a verrou comme semi automatique marque : Fédéral référence : 725 Type d’ogive round nose cuivree a pointe creuse vitesse 384 mètres par secondes poids ogive : 36 grains en stock envoi des reception du paiement vente uniquement aux personnes ayant une licence de tir ou permis de chasse avec validation,58.9
Boîte ancienne 22 LR Remington 22 Target,https://www.naturabuy.fr/Boite-ancienne-22-LR-Remington-22-Target-item-10653966.html,Remington,0,11.0,4.4,Marque : RemingtonEtat de l'objet : D'occasionType : StandardType d'ogive : Plomb Boîte en parfait état. Envoie par mondial relais 4€40,15.4
"boite de 325 cartouches de 22Lr de marque Federal , Automatch , pour semi auto",https://www.naturabuy.fr/boite-325-cartouches-22Lr-marque-Federal-Automatch-semi-auto-item-10619099.html,Federal,1,44.9,12.0,"Marque : FederalEtat de l'objet : NeufType : Standard Longue - haute vitesseType d'ogive : Plomb 1 boite de 325 cartouches de marque Federal 22lr ,40 grains round nose special semi auto Type d'ogive round nose en plomb vitesse 360 metres par secondes poids ogive : 40 grains en stock envoi des reception du paiement vente uniquement aux personnes ayant une licence de tir ou permis de chasse avec validation",56.9
Boîte ancienne 22 LR Fiocchi expansive,https://www.naturabuy.fr/Boite-ancienne-22-LR-Fiocchi-expansive-item-10653962.html,Fiocchi,0,12.0,4.4,"Marque : FiocchiEtat de l'objet : D'occasionType : StandardType d'ogive : Plomb Boîte ancienne, Fiocchi expansive, il manque 6 cartouches. Envoie par mondial relais 4,40 €",16.4
Boîte ancienne 22 LR NCS 20 Match,https://www.naturabuy.fr/Boite-ancienne-22-LR-NCS-20-Match-item-10653952.html,NCS,0,20.0,4.4,"Marque : NCSEtat de l'objet : D'occasionType : MatchType d'ogive : Plomb Boîte ancienne frabriquée par la Nouvelle Cartoucherie de Survilliers (Cartoucherie Française). Boîte en parfait état. Envoie par mondial relay 4,40 €",24.4
Boîte 22 LR ancienne NCS 30,https://www.naturabuy.fr/Boite-22-LR-ancienne-NCS-30-item-10653948.html,NCS,0,20.0,4.4,"Marque : NCSEtat de l'objet : D'occasionType : StandardType d'ogive : Plomb Boîte ancienne, fabrication Nouvelle Cartoucherie de Survilliers (Cartouche rie française). Bôite complète en en parfait état. Envoie par mondial relais 4,40 €",24.4
Boîte ancienne 22 LR Fiocchi ultrasonic,https://www.naturabuy.fr/Boite-ancienne-22-LR-Fiocchi-ultrasonic-item-10653942.html,Fiocchi,0,15.0,4.4,"Marque : FiocchiEtat de l'objet : D'occasionType : Standard Longue - haute vitesseType d'ogive : Cuivre Boîte ancienne Fiocchi Ultrasonic, boîte en parfait état. Envoie par mondial relais 4 € 40",19.4
Boite ancienne T22,https://www.naturabuy.fr/Boite-ancienne-T22-item-10270875.html,Winchester,0,10.0,4.4,Marque : WinchesterEtat de l'objet : D'occasionType : StandardType d'ogive : Plomb Boîte complète de Winchester T22. Dernier exemplaire Envoi par Mondial Relais 4€40,14.4
MUNITIONS SUBSONIC CAL. 22 LR boite de 50 balles,https://www.naturabuy.fr/MUNITIONS-SUBSONIC-CAL-22-LR-item-9413972.html,Winchester,1,18.9,8.6,Marque : WinchesterEtat de l'objet : NeufType : SubsoniqueType d'ogive : Creuse Ogives en plomb 42 grains. Profil Hollow Point (Pointe creuse) expansive,27.5
22 lr bosquette x 50 en vrac conique,https://www.naturabuy.fr/22-lr-bosquette-100-vrac-conique-item-10385603.html,NCS,1,1.0,9.0,Marque : NCSEtat de l'objet : NeufType : Bosquette Véritable 22 lr bosquettes x 50cartoucherie française conique en vrac fonctionne parfaitement pour cible 50 m bon groupement poudre noir,10.0
Balles CCI Blazer 40g - Cal. 22LR Par 1 22LR 40,https://www.naturabuy.fr/Balles-CCI-Blazer-40g-Cal-22LR-Par-1-22LR-40-item-10653538.html,CCI,1,6.28,6.9,"Marque : CCIEtat de l'objet : NeufType : StandardType d'ogive : Plomb Quantité : Par 1Calibre : 22LRGrains : 40Balles CCI Blazer 40g - Cal. 22LR Caractéristiques : - Cartouche a percussion annulaire - Boites de 50 balles - Ogive : Lead round nose Quantité: Par 1, par 10 ou par 20 (voir options) Calibre 22LR Grammes 2.6 g Grains 40 Vitesse à 0 m 376 m/s Energie à 0 m 126 joules L'expédition de votre commande ne sera pas effectuée tant que la totalité des justificatifs ne seront pas réceptionnés et validés.",13.18
Balles RWS High Velocity HP - Cal. 22LR 22LR Par 10 40,https://www.naturabuy.fr/Balles-RWS-High-Velocity-HP-Cal-22LR-22LR-Par-10-40-item-10327816.html,RWS,1,85.05,6.9,"Marque : RWSEtat de l'objet : NeufType : Standard Longue - haute vitesseType d'ogive : Cuivre Calibre : 22LRQuantité : Par 10Grains : 40 Caractéristiques: - Munitions de chasse adaptée aux carabines de petit calibre et aux réducteurs - Balle au plomb à chemise en cuivre et tête tronquée, pour le tir d'animaux de petite taille - Bonne pénétration grâce à la vitesse augmentée de 80 m / s Quantité: Par 1, par 10 ou par 20 (voir options) Calibre 22LR Grammes 2.6 g Vitesse à 0 m 385 m/s Vitesse à 100 m 293 m/s Energie à 0 m 193 joules Energie à 100 m 112 joules Quantité 50",91.95
50 CARTOUCHES WINCHESTER T22 40GR CALIBRE 22LR,https://www.naturabuy.fr/50-CARTOUCHES-WINCHESTER-T22-40GR-CALIBRE-22LR-item-8927949.html,Winchester,1,7.5,10.99,"Marque : WinchesterEtat de l'objet : NeufType : StandardType d'ogive : Plomb Article de catégorie C VENTE INTERDITE AUX MINEURS.Liste des documents nécessaires à l'achat : Une copie de votre pièce d'identité Une copie de votre licence de tir en cours validée par le médecin OU Une copie de votre pièce d'identité Une copie de votre permis de chasser Une copie de votre validation de permis de la saison en cours ou précédentes La Winchester T22 est une cartouche longue pour carabine ou pistolet 22 long rifle. La bonne précision, les performances constantes et l'excellent rapport qualité/prix de cette munition 22LR Winchester T22 en font une très bonne munition pour le tir de loisir, en club ou pour s'initier à la compétition La balle de plomb à tête ronde, lubrifiée, de 2,59 grammes de la cartouche 22 LR Winchester T22 part à la vitesse standard de 334 m/s pour une énergie de 144 joules. Elle est vendue par boîte de 50 pièces. Détails techniques : LOI : CTYPE : CARTOUCHEMARQUE : WINCHESTERMODELE : T22CALIBRE : 22LROGIVE : LRNPOIDS EN GRS : 40CONTENANCE : 50",18.490000000000002
Munitions RWS Cal.22lr Professional line Rifle Match S par 1000,https://www.naturabuy.fr/Munitions-RWS-Cal-22lr-Professional-line-Rifle-Match-S-par-1000-item-10705514.html,RWS,1,188.0,12.9,Marque : RWSEtat de l'objet : NeufType : MatchType d'ogive : Non communiquée Munitions RWS Cal.22lr Professional line Rifle Match S La munition à percussion annulaire RWS RIFLE MATCH S est une munition très rapide destinée à l'entrainement et à la compétition. Sa vitesse supersonique lui garantit une précision redoutable à 50 et 100 m. Une véritable alternative pour les armes à canons sensibles. Particulièrement adaptée aux biathlètes et comme munition d'entrainement pour les utilisateurs de RWS R 100. Boite de 50. 20 Boites de 50,200.9
Munitions CCI 22lr Competition Pistol Match par 500,https://www.naturabuy.fr/Munitions-CCI-22lr-Competition-Pistol-Match-par-500-item-9407358.html,CCI,1,225.5,9.9,Marque : CCIEtat de l'objet : NeufType : MatchType d'ogive : Plomb Munitions CCI 22lr Competition Pistol Match Calibre: 22lr Ogive: Round Nose plomb 2.6g 40grains Vm/s 326 10 boites de 50,235.4
boite de 50 cartouches 22LR  AGUILA INTERCEPTOR,https://www.naturabuy.fr/boite-50-cartouches-22LR-AGUILA-INTERCEPTOR-item-10431061.html,Aguila,1,19.0,9.0,Marque : AguilaEtat de l'objet : NeufType : Standard Longue - haute vitesseType d'ogive : Cuivre boite de 50 cartouches de chez AGUILA modele INTERCEPTOR grande vitesse 1470 fps balle de 40 grains cuivré,28.0
( Munitions Win 22 Lr. HP Subsonic )Munitions Subsonic cal. 22 LR,https://www.naturabuy.fr/-Munitions-Subsonic-cal-22-LR--item-5234797.html,Winchester,1,85.18,6.9,Marque : WinchesterEtat de l'objet : NeufType : SubsoniqueType d'ogive : Plomb MUNITIONS WIN 22 LR. HP SUBSONIC UNIQUEMENTOgives en plomb 42 grains. Profil Hollow Point (Pointe creuse) expansive.10 boîtes de 50 soit 1 carton de 500.,92.08000000000001
boite de 50 cartouches 22LR vitesse standard  AGUILA,https://www.naturabuy.fr/boite-50-cartouches-22LR-vitesse-standard-AGUILA-item-10430986.html,Aguila,1,7.0,9.0,Marque : AguilaEtat de l'objet : NeufType : StandardType d'ogive : Plomb boite de 50 cartouches AGUILA vitesse standard 1130 fps balle plomb de 40 gr,16.0
RWS 22 LR High Velocity Green Fragmentation 1.6g 24gr x10 boites,https://www.naturabuy.fr/RWS-22-LR-High-Velocity-Green-Fragmentation-1-6g-24gr-x10-boites-item-9861673.html,RWS,1,145.0,0.0,Marque : RWSEtat de l'objet : Neuf !!! AFFAIRE A SAISIR !! ATS-46 vous propose ces munitions 22 LR High Velocity Green Fragmentation de la marque RWS. CARACTERISTIQUES Marque : RWS Calibre : 22 LR High Velocity Green Fragmentation Ogive : Zinc Poids : 1.6 g Grains : 24 gr Munition / boite : 50 NEUF X10 BOITES Frais de port offert ! profitez-en ! ATS-46 vous informe que les munitions en stock magasin vous seront envoyées sous 48H et 96H pour les commandes directement au fournisseur.,145.0
Catouches 22LR FEDERAL BIRD SHOT 25grs 12 plomb en boite de 50,https://www.naturabuy.fr/Catouches-22LR-FEDERAL-BIRD-SHOT-25grs-12-plomb-boite-50-item-9433061.html,Federal,1,32.0,8.0,Marque : FederalEtat de l'objet : NeufType : GrenailleType d'ogive : Plomb Catouches 22LR FEDERAL BIRD SHOT 25grs 12 plomb en boite de 50,40.0
RWS 22 LR High Velocity Green Fragmentation 1.6g 24gr x5 boites,https://www.naturabuy.fr/RWS-22-LR-High-Velocity-Green-Fragmentation-1-6g-24gr-x5-boites-item-9861672.html,RWS,1,72.5,0.0,Marque : RWSEtat de l'objet : Neuf !!! AFFAIRE A SAISIR !! ATS-46 vous propose ces munitions 22 LR High Velocity Green Fragmentation de la marque RWS. CARACTERISTIQUES Marque : RWS Calibre : 22 LR High Velocity Green Fragmentation Ogive : Zinc Poids : 1.6 g Grains : 24 gr Munition / boite : 50 NEUF X5 BOITES Frais de port offert ! profitez-en ! ATS-46 vous informe que les munitions en stock magasin vous seront envoyées sous 48H et 96H pour les commandes directement au fournisseur.,72.5
